Module                  Size  Used by
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  5 nf_conntrack,nf_nat,btrfs,nf_tables,raid456
raid1                  57344  0
raid0                  24576  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
crct10dif_pclmul       12288  1
crc32_pclmul           12288  0
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
nvme                   61440  2
sha256_ssse3           32768  0
i2c_hid_acpi           12288  0
xhci_pci               24576  0
r8169                 118784  0
nvme_core             212992  3 nvme
video                  77824  1 amdgpu
i2c_hid                40960  1 i2c_hid_acpi
thunderbolt           516096  0
sha1_ssse3             32768  0
xhci_pci_renesas       20480  1 xhci_pci
realtek                36864  1
nvme_auth              28672  1 nvme_core
wmi                    28672  2 video,wmi_bmof
hid                   180224  5 i2c_hid,usbhid,hid_generic,hid_logitech_dj,hid_logitech_hidpp
aesni_intel           356352  5
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
